Responder_id,Age
1,14
2,19
3,28
4,22
5,30
6,28
7,42
8,24
9,23
11,22
12,21
13,28
14,31
15,20
16,26
17,29
19,31
20,38
22,47
23,22
24,23
25,22
26,34
27,22
29,32
30,28
32,21
33,25
34,17
35,35
36,21
37,27
38,44
39,42
40,23
42,30
43,27
44,43
45,62
46,37
47,45
48,20
49,34
50,23
51,18
52,22
53,18
54,37
55,25
56,33
57,31
58,47
59,38
60,27
61,34
62,19
63,42
64,25
65,21
67,24
68,29
69,18
70,42
71,21
72,29
73,36
74,24
75,27
76,32
77,43
78,25
79,20
80,24
81,28
83,22
84,26
85,31
86,26
87,36
88,16
90,25
91,25
92,35
93,32
94,27
95,30
96,43
97,25
98,30
99,21
100,39
101,35
102,37
104,29
106,33
107,24
108,64
109,41
110,26
111,54
112,19
113,49
114,26
115,21
116,31
117,38
118,26
119,28
120,26
121,20
123,24
124,27
125,35
126,32
839,32
841,35
842,44
843,27
844,27
845,44
846,22
848,26
849,18
850,36
851,20
852,28
853,26
854,46
855,40
856,45
857,23
858,17
859,30
860,24
861,27
862,29
863,18
864,25
865,27
866,35
867,42
868,21
869,30
870,25
871,23
872,32
873,23
874,25
875,18
876,29
877,49
878,32
879,17
880,30
881,20
882,20
883,46
884,28
885,23
886,26
887,33
888,34
890,28
891,15
892,33
893,22
894,27
896,21
898,25
899,28
900,26
901,25
902,23
903,22
904,40
907,25
909,28
910,25
911,22
912,27
913,20
914,51
915,38
916,41
917,33
918,20
919,32
920,28
921,30
922,28
923,31
925,28
926,20
927,22
928,27
929,32
930,33
931,35
932,34
933,24
934,27
935,38
936,16
937,15
938,31
939,22
941,20
942,28
943,36
944,32
945,27
946,37
947,18
948,32
949,24
951,42
952,38
953,23
954,19
955,40
957,26
958,28
959,35
960,20
962,29
964,30
965,22
967,36
968,31
969,27
970,53
971,33
